PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
1499,Lomentaria hakodatensis,"sequence match 100% in BOLD",Lomentaria hakodatensis,No,x (JN),7/17/2015,,,7/20/2015,x (JN),,,,Red,"Hakai, Maey Channel, West side",17-Jun-15,"Hakai#2015_05; no genetic sample left in vial, ground material did not reach half 0.1 mark",A93037,,mid intertidal,,"51å¡39'57.3"" ","-128å¡04'39.3""",,,
1500,Gloiocladia laciniata ,99.92% match on BOLD via RBCL,Leptofauchea sp.,No,x (JN),7/17/2015,,,7/20/2015,x (JN),,,,Red,"Hakai, Maey Channel, East side",17-Jun-15,"Hakai#2015_06; Slippery, tetrasporophytes with cruciate tetraspores in pustules on surface; no genetic sample left in vial, ground material did not reach half 0.1 mark",A93038,,Cast ashore,,"51å¡39'57.3"" ","-128å¡04'39.3""",,,
1501,Gracilaria pacifica,"sequence match 99.6% in BOLD",Gracilaria pacifica,No,x (JN),7/17/2015,,,7/20/2015,x (JN),,,,Red,"Hakai, Maey Channel, East side",17-Jun-15,Hakai#2015_07; bisporangial; No genetic sample left in vial,A93039,,low intertidal,,"51å¡39'57.3"" ","-128å¡04'39.3""",,,
1502,Ceramium pacificum,"sequence match 99.6% in BOLD",Ceramium pacificum,Yes,x (JN),7/17/2015,,,7/20/2015,x (JN),,,,Red,"Hakai, Maey Channel, East side",17-Jun-15,Hakai#2015_08,A93040,,mid intertidal,Yes,"51å¡39'57.3"" ","-128å¡04'39.3""",,,
1503,,"sequence match 94.18% with Mastophora rosea in BOLD; sequence some what messy",Mastophora sp.,no,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline ,"South of Jiqi, Hualien County, East Coast Taiwan",22-Apr-15,"Taiwan 1; epiphytic, no genetic sample left over",A93041,,mid intertidal,,"23å¡40'56.8"" ","121å¡32'51.8""",,,
1504,,sequence match 89.87% with Jania sp. 1Cocos; ,Jania sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"South of Jiqi, Hualien County, East Coast Taiwan",22-Apr-15,"Taiwan 2; in turfs, mostly bleached",A93042,,mid intertidal,Yes,"23å¡40'56.8"" ","121å¡32'51.8""",,,
1505,,,Alatocladia (?),yes,x (JN),7/27/2015,,,7/28/2015,x (JN); sequence messy,,,,Coralline,"South of Jiqi, Hualien County, East Coast Taiwan",22-Apr-15,Taiwan 3; in dense turfs (photo),A93043,,mid intertidal,Yes,"23å¡40'56.8"" ","121å¡32'51.8""",,,
1506,,messy M13F,Unknown Coralline Crust,yes,x (JN),7/27/2015,,,7/31/2015,,,,,Coralline,"South of Jiqi, Hualien County, East Coast Taiwan",22-Apr-15,"Taiwan 4; quarter-sized, pavement of competing crusts (photo), PCR worked after 1:10 dilution",A93044,,mid intertidal,Yes,"23å¡40'56.8"" ","121å¡32'51.8""",,,
1507,Corallina caespitosa,sequence match 99.24% in BOLD,Corallina sp.,no,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"South of Jiqi, Hualien County, East Coast Taiwan",22-Apr-15,"Taiwan 5; cast ashore attached to toaster-sized rock, no genetic sample left in vial, ground material did not reach half 0.1 mark during extraction",A93045,,mid intertidal,,"23å¡40'56.8"" ","121å¡32'51.8""",,,
1508,,,Amphiroa sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN); sequence messy,,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,Taiwan 6; ,A93046,,mid intertidal,Yes,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1509,Corallina caespitosa,sequence match 99.77% in BOLD,Corallina sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,Taiwan 7,A93047,,mid intertidal,Yes,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1510,Corallina caespitosa,sequence match 99.44% in BOLD,Corallina sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,Taiwan 8; low growing turf,A93048,,mid intertidal,Yes,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1511,Corallina caespitosa,sequence match 99.43% in BOLD,Corallina sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,Taiwan 9; very spindly with terete apices,A93049,,mid intertidal,Yes,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1512,,,Corallina sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN); sequence messy,,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,Taiwan 10;,A93050,,mid intertidal,Yes,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1513,,,unknown Coralline Crust,no,x (JN),7/27/2015,,,7/28/2015,x (JN); sequence messy,,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,"Taiwan 11; epiphytic; no genetic sample left in vial, ground material did not reach half 0.1 mark",A93051,,mid intertidal; on Pterocladiella sp.,,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1514,,sequence match 87.6% with Metagoniolithon chara in BOLD,unknown Coralline Crust,no,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"Yuao Rd. South East of Yeliudizhi Park, Keelung, Taiwan",27-Apr-15,"Taiwan 12; on cobble, broad bumps, no genetic sample left in vial",A93052,,mid intertidal,,"25å¡11'59.0"" ","121å¡41'31.8""",,,
1515,,,Jania sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN); sequence messy,,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,Taiwan 13;,A93053,,low intertidal,Yes,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1516,,,unknown Coralline Crust,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,"Taiwan 14; broad bumps (5-10mm), pic 1",A93054,,low intertidal; on cobble,Yes,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1517,Corallinac sp. 1Jejucrust,sequence match 98.83% in BOLD,unknown Coralline Crust,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,Taiwan 15; narrow bumps (3-4mm) pic 2,A93055,,"low intertidal, on rock",Yes,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1518,,sequence match 87.04% with Sporolithon sp. 2WA in BOLD,unknown Coralline Crust,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,"Taiwan 16; mostly smooth, pic 3",A93056,,"low intertidal, on rock",Yes,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1519,Corallina caespitosa,sequence match 99.13% in BOLD,Corallina sp.,yes,x (JN),7/27/2015,,,7/28/2015,x (JN),,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,Taiwan 17,A93057,,low intertidal,Yes,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1520,,sequence match 89.88% with Spongites decipiens in BOLD,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,Taiwan 18; no genetic sample left in vial,A93058,,"low intertidal, on cobble",,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1521,,sequence match 89.88% Spongites decipiens in BOLD,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,"Taiwan 19; small (~1cm) crusts competing for space; no genetic sample left in vial, ground material did not reach half 0.1 mark",A93059,,"low intertidal, on cobble",,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1522,,messy M13F seq,unknown Coralline Crust,yes,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,"Taiwan 20, 15mm crust",A93060,,"low intertidal, on cobble",Yes,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1523,,sequence match 87.6% with Metagoniolithon chara in BOLD,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,Taiwan 21; no genetic sample left in vial,A93061,,"low intertidal, on cobble",,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1524,,sequence match 89.88% with Spongites decipiens in BOLD,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,"East of Shimen Harbour, Keelung, Taiwan",27-Apr-15,Taiwan 22; ~15mm crusts competing on cobble; no genetic sample left in vial,A93062,,"low intertidal, on cobble",,"25å¡17'49.8"" ","121å¡34'06.4""",,,
1525,,messy M13F seq,unknown Coralline Crust,yes,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,Guanyin Beach (Site 1),30-Apr-15,"Taiwan 23, ground material looked very dirty (brown colour)",A93063,,on algal reef,Yes,"25å¡02'58.5"" ","121å¡04'38.5""",,,
1526,,sequence match 88.03% with Phymatolithon calcareum in BOLD,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,Guanyin Beach (Site 1),30-Apr-15,"Taiwan 24; ~1cm diameter; no genetic sample left in vial, ground material did not reach half 0.1 mark",A93064,,on cobble,,"25å¡02'58.5"" ","121å¡04'38.5""",,,
1527,,sequence match 88.03% with Phymatolithon calcareum in BOLD,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,Guanyin Beach (Site 1),30-Apr-15,"Taiwan 25; photo; ground material looked dirty, no genetic sample left over, ",A93065,,on algal reef,,"25å¡02'58.5"" ","121å¡04'38.5""",,,
1528,,messy M13F seq,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,Guanyin Beach (Site 1),30-Apr-15,"Taiwan 26; very thin; no genetic sample left in vial, ground material did not reach half 0.1 mark",A93066,,on cobble,,"25å¡02'58.5"" ","121å¡04'38.5""",,,
1529,Phymatolithon sp. 2CPVP,89% match on BLAST,unknown Coralline Crust,no,x (JN),8/6/2015,,,8/7/2015,,,,,Coralline,Guanyin Beach (Site 2),30-Apr-15,Taiwan 27; irregular margins & thin,A93067,,on cobble,,"25å¡01'01.7"" ","121å¡01'54.3""",,,
1530,,messy M13F seq,unknown Coralline Crust,yes,x (JN),8/6/2015,,,8/19/2015,,,,,Coralline,Guanyin Beach (Site 2),30-Apr-15,Taiwan 28; photo; PCR worked after 1:10 dilution,A93068,,on algal reef,Yes,"25å¡01'01.7"" ","121å¡01'54.3""",,,
1531,Ahnfeltiopsis flabelliformis,98.44% on BOLD,Chondrus sp.,yes,x (JN),8/6/2015,,,8/7/2015,,,,,Red,Guanyin Beach (Site 2),30-Apr-15,Taiwan 29,A93069,,not in colection papers,Yes,"25å¡01'01.7"" ","121å¡01'54.3""",,,
1532,,messy psbA,Lithophyllum laeve,,x (AH/SH),2018.02.08,2018.02.09,,,,,,,Red,"Eyrarbakki, Iceland",02-Jul-16,Topotype locality,,,on lava rock under Ascophyllum,,,,Patrick T. Martone,,
1533,,,Lithophyllum laeve,,x (AH/SH),2018.02.08,,,,,,,,Red,"Eyrarbakki, Iceland",02-Jul-16,Type locality,,,on lava rock under Ascophyllum,,,,Patrick T. Martone,,
1534,,,Lithophyllum laeve,,x (AH/SH),,,,,,,,,Red,"Eyrarbakki, Iceland",02-Jul-16,Type locality,,,on lava rock under Ascophyllum,,,,Patrick T. Martone,,
1535,,,Trentepohlia sp.,,,,,,,,,,,Green,"HvolsvÌ¦llur, Iceland",02-Jul-16,,A93586,,"on cliff face, under Seljalandsfoss waterfall",,63.615502,-19.988397,Patrick T. Martone,,
1536,,,Scytosiphon lomentaria,yes,,,,,,,,,,Brown,"West Beach Boulders, Hakai",29-May-17,,A93587,,,,51.6492,-128.1519,Sandra Lindstrom,,
1537,,,Prasiola sp.,yes,,,,,,,,,,Green,"Little Wolf Beach, Hakai",29-May-17,,A93588,,,,51.665979,-128.130709,Kyra Janot,,
1538,,,Prasiola sp.,yes,,,,,,,,,,Green,"North Beach, Hakai",29-May-17,no fungus,A93589,,,,51.66541,-128.13533,Kyra Janot,,
1539,,messy psbA,Ceramium pacificum,yes,x (AH/SH),2018.02.08,2018.02.09,,,,,,,Red,"Little Wolf, Hakai",29-May-17,,,,,,,,Sam Starko,,
1540,,messy psbA,Chondracanthus corymbiferus,yes,x (AH/SH),2018.02.08,2018.02.15,,,,,,,Red,"West Beach, Hakai",30-May-17,,,,,,,,Kyra Janot,,
1541,Chondrus crispus,sequence match 98% match to Chondrus crispus in BLAST (NCBI); good psbA; need rbcL,Mazzaella sp.,yes,x (AH/SH),2018.01.30,2018.02.15,,,,,,,Red,"West Beach, Hakai",30-May-17,female,,,,,,,Kyra Janot,,
1542,,,Mazzaella sp.,yes,x (AH/SH),2018.01.30,2018.02.15,,,,,,,Red,"West Beach, Hakai",30-May-17,"""long""",,,,,,,Kyra Janot,,
1543,,,Trentepohlia flava,yes,,,,,,,,,,Green,"5th Beach, Hakai",27/30-May-2017,,A93590,,,,51.64089,-128.15659,Sam Starko,,
1544,,,Green Balls,yes,,,,,,,,,,Green,"North Beach Bench, Hakai",27-May-17,,,,,,51.66541,-128.13533,Sam Starko,,
1545,,,Saccharina groenlandica,yes,,,,,,,,,,Brown,"Maey Channel, Hakai",27-May-17,,A93591,,,,51.663111,-128.09757,Sam Starko,,
1546,,,Ptilota sp.,yes,x (AH/SH),2018.02.08,2018.02.09,,,,,,,Red,"3rd Beach, Hakai",25-May-17,2017_1,,,drift,,,,Patrick T. Martone,,
1547,Bossiella hakaiensis,99% seqeuence match to Bossiella hakaiensis in BLAST (NCBI),Pseudolithophyllum whidbeyense,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"North Beach Bench, Hakai",26-May-17,2017_2,,voucher,,,,,Patrick T. Martone,,
1548,,needs reverse; Bossiella frondifera contamination?,Crusticorallina muricata,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"North Beach Bench, Hakai",26-May-17,2017_3,,voucher,,,,,Patrick T. Martone,,
1549,,messy,Lithophyllum sp. 8,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"5th Beach, Hakai",26/25-May-2017,2017_4,,,,,,,Patrick T. Martone,,
1550,,,Colpomenia bullosa,yes,,,,,,,,,,Brown,"North Beach Boulders, Hakai",26-May-17,2017_5,A93592,voucher,"epilithic, low North Beach Boulders",,51.66541,-128.13533,Patrick T. Martone,,
1551,,good sequence; Hapalidiaceae (Lithothamnion?) by psbA gene tree,Coralline crust,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"Maey Channel, Hakai",27-May-17,2017_7,,voucher,,,,,Patrick T. Martone,,
1552,,,Coralline crust,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"Maey Channel, Hakai",27-May-17,2017_8,,voucher,,,,,Patrick T. Martone,,
1553,,sequence match 95% Leptophytum foecundum,Pseudolithophyllum whidbeyense,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"Maey Channel, Hakai",27-May-17,2017_9,,voucher,,,,,Patrick T. Martone,,
1554,,,Unknown Coralline Crust,yes,x (AH/SH),2018.01.23,,,,,,,,Red,"North Beach West End, Hakai",28-May-17,2017_10; on Osmundea,,,,,,,Patrick T. Martone,,
1555,,sequence match 94% to Bossiella plumosa in BLAST (NCBI) ,Bossiella plumosa,yes,x (AH/SH),2018.01.23,2018.01.25,,,,,,,Red,"North Beach, Coralline X site, Hakai",29-May-17,2017_11,,,,,,,Patrick T. Martone,,
1556,,,Melanosiphon sp.,yes,,2018.01.23,,,,,,,,Brown,"5th Beach exposed Pt., Hakai",30-May-17,2017_12,A93593,voucher,"high, near Fucus, endocladia, edge of small pool",,51.64089,-128.15659,Patrick T. Martone,,
1557,,96% sequence match to Acrosorium ciliolatum in BLAST (NCBI)- ***Need CO1,Nitophyllum sp.,yes,x (AH/SH),2018.01.23,2018.01.26,,,,,,,Red,"5th Beach exposed Pt., Hakai",30-May-17,2017_13,,,,,51.64089,-128.15659,Patrick T. Martone,,
1558,,,Petrospongium rugosum,yes,,,,,,,,,,Brown,"5th Beach exposed Pt., Hakai",30-May-17,2017_14,A93594,voucher,"mid, by endocladia, channel",,51.64089,-128.15659,Patrick T. Martone,,
1559,Corallina vancouveriensis,sequence match 98% to Corallina vancouveriensis in BLAST (NCBI) + confirmation by psbA Mastertree,Melobesia mediocris,yes,x (AH/SH),2018.01.23,2018.02.15,,,,,,,Red,"West Beach Boulders, Hakai",30/29-May-2017,2017_15,,,,,,,Patrick T. Martone,,
1560,,,Corrallina sp.1 californica,yes,x (AH/SH),2018.01.23,2018.02.15,,,,,,,Red,"5th Beach exposed Pt., Hakai",30-May-17,2017_16,,,,,51.64089,-128.15659,Patrick T. Martone,,
1561,Bossiella frondifera,sequence match 100% to Bossiella frondifera in BLAST (NCBI),Bossiella frondifera,yes,x (AH/SH),2018.01.23,2018.01.26,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X1_A,,,,,51.665693,-128.135361,,,
1562,Bossiella plumosa,100% Bossiella sp.6plumosa,Bossiella plumosa,yes,x (AH/SH),2018.01.23,2018.01.26,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X1_A,,,,,51.665693,-128.135361,,,
1563,,,Pseudolithophyllum whidbeyense,yes,x (AH/SH),2018.01.23,2018.02.15,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X1_A,,,,,51.665693,-128.135361,,,
1564,,,recruit,yes,x (AH/SH),2018.01.23,,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X1_C1,,,,,51.665693,-128.135361,,,
1565,Corallina vancouveriensis,sequence match 99% to Corallina vancouveriensis in BLAST (NCBI) + confirmation by psbA Mastertree,recruit,yes,x (AH/SH),2018.01.23,2018.01.26,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X1_C3,,,,,51.665693,-128.135361,,,
1566,Bossiella frondifera,sequence match 100% to Bossiella frondifera in BLAST (NCBI),Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X2_C; weird,,,,,51.665693,-128.135361,,,
1567,Bossiella plumosa,sequence match 99% to Bossiella plumosa in BLAST (NCBI) ,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.02.09,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X2_C; typical,,,,,51.665693,-128.135361,,,
1568,Bossiella frondifera,sequence match 99% to Bossiella frondifera in BLAST (NCBI),Bossiella manzae,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X2_C,,,,,51.665693,-128.135361,,,
1569,,,Bossiella plumosa,yes,x (AH/SH),2018.01.16,2018.02.09,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X2_C,,,,,51.665693,-128.135361,,,
1570,,,Lithothamnion sp.,yes,x (AH/SH),2018.01.23,2018.01.26,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X3_A,,,,,51.665693,-128.135361,,,
1571,Bossiella frondifera,Bossiella frondifera from psbA gene tree,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X4_B,,,,,51.665693,-128.135361,,,
1572,Bossiella plumosa,Bossiella plumosa from psbA gene tree,Bossiella plumosa,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X4_B,,,,,51.665693,-128.135361,,,
1573,Bossiella frondifera,sequence match 99% to Bossiella frondifera in BLAST (NCBI),Bossiella manzae,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X4_B,,,,,51.665693,-128.135361,,,
1574,,,Petalonia sp.,yes,,,,,,,,,,Brown,"Coralline X North Beach Site, Hakai",2017,X5_A,,,,,51.665693,-128.135361,,,
1575,Chamberlainium tumidum,sequence match 99% to Spongites tumidum in BLAST (NCBI),Chamberlainium tumidum,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,X9_A,,,,,51.665693,-128.135361,,,
1576,Bossiella frondifera,Bossiella frondifera from psbA gene tree,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,"X9_A: ""1""",,,,,51.665693,-128.135361,,,
1577,,,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,,,,,,,Red,"Coralline X North Beach Site, Hakai",2017,"X9_A; ""2""",,,,,51.665693,-128.135361,,,
1578,,,Brown crust,yes,,,,,,,,,,Brown,"Coralline X North Beach Site, Hakai",2017,X_,,,,,51.665693,-128.135361,Sam Starko,,
1579,,,Desmarestia ligulata,yes,,,,,,,,,,Brown,"West Beach Boulders, Calvert island",26-Jul-17,thin and branched,A93217,,"Subtidal, 5.5m",,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1580,,,Desmarestia latissima,yes,,,,,,,,,,Brown,"West Beach Boulders, Calvert island",26-Jul-17,Broad,A93218,,"Subtidal, 3.5m",,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1581,,,Desmarestia aculeata,yes,,,,,,,,,,Brown,"West Beach Boulders, Calvert island",26-Jul-17,,A93219,,"Subtidal, 3m",,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1582,Scinaia confusa,sequence match 100% with Scinaia confusa in BOLD,Scinaia confusa,yes,,,,,,,,,,Red,"North Beach Bench, Calvert Island",26-Jul-17,,A93220,,"Low intertidal, epilithic",,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1583,Hymenena kylinii,sequence match 100% with Hymenena kylinii in BOLD; also match to Hymenena sp.GWS002901 in NBC1,Hymenena flabelligera,yes,,,,,,,,,,Red,"North Beach Boulders, Calvert Island",26-Jul-17,Under Egregia,A93221,,Lower mid-intertidal,,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1584,Ptilota filicina,sequence match 99.85% with Ptilota filicina in BOLD,Ptilota sp.,yes,,,,,,,,,,Red,"North Beach Boulders, Calvert Island",26-Jul-17,Finely branched,A93222,,Lower mid-intertidal,,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1585,Odonthalia floccosa f. comosa,sequence match 100% with Odonthalia floccosa f. comosa,Odonthalia floccosa forma comosa,yes,,,,,,,,,,Red,"North Beach Bench, Calvert Island",26-Jul-17,On mussel,A93223,,mid intertidal,,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1586,,sequencing failed,Lithophyllum dispar,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"North Beach Boulders, Calvert Island",26-Jul-17,On Osmundea,A93224,,Lower mid-intertidal,,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1587,Pterocladiella caloglossoides,sequence match 100% with Pterocladiella caloglossoides in BOLD,Pterocladiella sp.,yes,,,,,,,,,,Red,"North Beach Boulders, Calvert Island",26-Jul-17,,A93225,,"Low intertidal, epilithic",,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1588,Corallina sp.1 frondescens,sequence match 100% with Corallina frondescens in BOLD,Corallina sp.1,yes,,,,,,,,,,Red,"North Beach Bench, Calvert Island",26-Jul-17,,A93226,,"Low, under overhanging rock",,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1589,Neopolyporolithon reclinatum,sequence match 100% with Neopolyporolithon reclinatum in BOLD,Neopolyporolithon reclinatum,yes,,,,,,,,,,Red,"North Beach Bench, Calvert Island",26-Jul-17,On Bossiella reptans,A93227,,Low intertidal,yes,51.66541,-128.13533,Patrick T. Martone,,Patrick T. Martone
1590,,sequencing failed,Bossiella mayae,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"Growing at base of kelp holdfast, covered in Platysiphonia decumbens",A93228,,"Subtidal, 5.5m",,51.66541,-128.13533,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1591,,sequencing failed,Bossiella hakaiensis,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Pisco site, Calvert Island",27-Jul-17,Under Saccharina sessilis,A93229,,Low intertidal,,51.66664,-128.135,Patrick T. Martone,,Patrick T. Martone
1592,,contaminated,Bossiella sp.,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Smaug channel, Calvert Island",27-Jul-17,,A93230,,"Mid intertidal, tidepool",,51.66664,-128.135,Patrick T. Martone,,Patrick T. Martone
1593,,sequencing failed,Bossiella californica,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Pisco site, Calvert Island",27-Jul-17,Under Saccharina sessilis,A93231,,Low intertidal,,51.66664,-128.135,Patrick T. Martone,,Patrick T. Martone
1594,,seqeuncing failed,Bossiella californica,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Pisco site, Calvert Island",27-Jul-17,"Under Saccharina sessilis, fronds spreading outward in prostrate ring, photo",A93232,,Low intertidal,,51.66664,-128.135,Patrick T. Martone,,Patrick T. Martone
1595,,sequencing failed,Neopolyporolithon reclinatum,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Smaug channel, Calvert Island",27-Jul-17,On Johansenia macmillanii,A93233,,"Low intertidal, tidepool",,51.66664,-128.135,Patrick T. Martone,,Patrick T. Martone
1596,,,Lithothamnion phymatodeum,yes,,,,,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,"On brachiopod, sample to MarineGEO (BAK0984), SPECIMEN PRESERVED BY INVERT TEAM; Only 1 copy, sent to Matt for BOLD",,only photo voucher,"Subtidal, 9m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1597,,sequencing failed,Chiharaea americana,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,Photo 3,A93234,,"Subtidal, 7m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1598,,sequencing failed,Crusticorallina adhaerens,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,Photo 1,A93235,,"Subtidal, 7m",yes,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1599,,sequencing failed,Lithothamnion phymatodeum,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,Overgrowing shell,A93236,,"Subtidal, 7m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1600,Calliarthron tuberculosum,sequence match 100% with Calliarthron tuberculosum in BOLD,Calliarthron tuberculosum,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"Spindly, Nereocystis bed",A93237,,"Subtidal, 5.5m",,51.6495,-128.1554,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
